epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,80.3986,0.77371,1.70019,0.69883,1.26549,0.93547,0.7619,0.84038,0.6686,0.83809,0.95238,0.91609,0.57951,1.01501,1.89957,0.74025,2.03846,0.0006338,0.0006338,0.0006338
71,81.5117,0.7308,1.66389,0.70289,1.20834,0.82448,0.95238,0.95882,0.68339,0.90516,0.95238,0.93025,0.60145,1.0569,1.93743,0.74604,2.05531,0.000614,0.000614,0.000614
72,82.7604,0.69546,1.65622,0.63948,1.20693,0.85025,0.7619,0.8902,0.6427,0.85025,0.7619,0.87505,0.55817,1.06419,2.00308,1.04814,2.0129,0.0005942,0.0005942,0.0005942
73,83.8188,0.74482,1.63576,0.70144,1.2965,0.57224,0.90476,0.77014,0.50838,0.57224,0.90476,0.77486,0.46494,1.23581,2.00703,1.27233,2.11267,0.0005744,0.0005744,0.0005744
74,84.9201,0.6912,1.66203,0.66885,1.19207,0.62303,0.78745,0.77776,0.50841,0.66139,0.85714,0.78283,0.47722,1.2782,1.98554,1.29196,2.14354,0.0005546,0.0005546,0.0005546
75,85.9523,0.73052,1.7117,0.65757,1.21213,0.72341,0.7619,0.83525,0.60372,0.68916,0.85714,0.83891,0.55333,1.10008,1.93194,1.11344,1.995,0.0005348,0.0005348,0.0005348
76,87.0754,0.73112,1.60134,0.65843,1.24171,0.95213,0.94736,0.97088,0.69686,1,0.99365,0.995,0.62276,1.02787,1.86431,0.80146,2.01307,0.000515,0.000515,0.000515
77,88.1608,0.68847,1.54317,0.59389,1.23261,0.99837,1,0.995,0.66414,0.99837,1,0.995,0.60505,1.0671,1.82908,0.81056,2.04254,0.0004952,0.0004952,0.0004952
78,89.3819,0.70328,1.58135,0.64956,1.24379,1,0.98936,0.995,0.69634,1,0.98936,0.995,0.61773,1.06036,1.79579,0.7481,2.06526,0.0004754,0.0004754,0.0004754
79,90.4411,0.68791,1.58931,0.63099,1.18669,1,0.99866,0.995,0.69773,1,0.99866,0.995,0.61272,1.05933,1.74866,0.66242,2.06367,0.0004556,0.0004556,0.0004556
80,91.5647,0.6653,1.51286,0.62093,1.19115,0.95158,0.9363,0.96476,0.6984,0.95158,0.9363,0.93968,0.62188,0.98098,1.71297,0.65272,1.92888,0.0004358,0.0004358,0.0004358
81,92.6101,0.66631,1.65885,0.64165,1.19642,0.87371,1,0.97175,0.71303,0.83187,0.95238,0.91761,0.63703,0.94553,1.72844,0.68423,1.90993,0.000416,0.000416,0.000416
82,93.6713,0.71778,1.58511,0.6476,1.24349,0.90498,0.95238,0.98157,0.71743,0.86922,0.94964,0.93055,0.64462,0.954,1.75247,0.6984,1.93478,0.0003962,0.0003962,0.0003962
83,94.7825,0.71985,1.63957,0.62051,1.2135,0.95229,0.95059,0.97786,0.73645,0.90461,0.90329,0.925,0.66427,0.99789,1.77689,0.67403,1.95771,0.0003764,0.0003764,0.0003764
84,95.8724,0.71078,1.77511,0.63244,1.22762,0.95023,0.95238,0.9463,0.72156,0.90255,0.90476,0.92884,0.65062,0.98944,1.75756,0.70695,1.91423,0.0003566,0.0003566,0.0003566
85,97.0054,0.70048,1.54832,0.66656,1.23951,0.94985,0.95238,0.96644,0.70011,0.99751,1,0.995,0.63735,1.04918,1.73945,0.76294,1.94821,0.0003368,0.0003368,0.0003368
86,98.0889,0.69216,1.56613,0.60736,1.23614,0.90234,0.90476,0.89473,0.66567,0.99754,1,0.995,0.63952,1.08338,1.71613,0.77121,1.9975,0.000317,0.000317,0.000317
87,99.2752,0.63936,1.5507,0.58011,1.15365,0.90236,0.90476,0.88954,0.66138,0.99748,1,0.995,0.63621,1.10365,1.71531,0.72029,2.07056,0.0002972,0.0002972,0.0002972
88,100.44,0.68405,1.54912,0.59019,1.20988,0.90232,0.90476,0.87954,0.66286,0.99737,1,0.995,0.618,1.02541,1.73722,0.68586,2.05402,0.0002774,0.0002774,0.0002774
89,101.709,0.67603,1.50793,0.59684,1.1926,0.85483,0.85714,0.86074,0.68229,0.99736,1,0.995,0.62069,1.03997,1.72919,0.66125,2.05397,0.0002576,0.0002576,0.0002576
90,102.928,0.68134,1.60469,0.5739,1.2087,0.90229,0.90476,0.91175,0.67524,0.99733,1,0.995,0.62936,1.0615,1.72332,0.68566,2.05443,0.0002378,0.0002378,0.0002378
91,107.041,0.45298,1.13686,0.70174,1.21789,0.90238,0.90476,0.9159,0.67418,0.99736,1,0.995,0.62735,1.06168,1.72682,0.68463,2.04516,0.000218,0.000218,0.000218
92,108.218,0.45821,1.12904,0.75257,1.24559,0.85491,0.85714,0.84536,0.65745,0.99751,1,0.995,0.61832,1.17618,1.7656,0.69066,2.2274,0.0001982,0.0001982,0.0001982
93,109.422,0.41334,1.10209,0.65363,1.19241,0.85484,0.85714,0.83538,0.64773,0.99737,1,0.995,0.60583,1.16572,1.7953,0.71925,2.25397,0.0001784,0.0001784,0.0001784
94,110.715,0.45808,1.21894,0.65474,1.246,0.85478,0.85714,0.8311,0.64294,0.9973,1,0.995,0.60563,1.1262,1.83172,0.71682,2.23031,0.0001586,0.0001586,0.0001586
95,111.87,0.36678,1.11143,0.59911,1.19272,0.85478,0.85714,0.83203,0.64304,0.9973,1,0.995,0.60696,1.14891,1.84872,0.71786,2.27654,0.0001388,0.0001388,0.0001388
96,113.06,0.47871,1.12142,0.61703,1.17366,0.8548,0.85714,0.83783,0.65249,0.99746,1,0.995,0.60437,1.04116,1.81542,0.77149,2.06427,0.000119,0.000119,0.000119
97,114.263,0.41233,1.09837,0.57942,1.17589,0.85485,0.85714,0.84134,0.65498,0.99754,1,0.995,0.61532,1.00777,1.78613,0.78475,1.98553,9.92e-05,9.92e-05,9.92e-05
98,115.404,0.40275,1.02242,0.5445,1.18194,0.8548,0.85714,0.84051,0.66112,0.99755,1,0.995,0.6153,0.99217,1.77159,0.79413,1.92862,7.94e-05,7.94e-05,7.94e-05
99,116.669,0.40064,1.04037,0.59422,1.18653,0.85481,0.85714,0.89374,0.69261,0.99757,1,0.995,0.62703,0.97357,1.7703,0.79224,1.89022,5.96e-05,5.96e-05,5.96e-05
100,117.992,0.4239,1.04028,0.56938,1.23189,0.85535,0.84521,0.89321,0.7205,1,0.98668,0.995,0.63897,0.86591,1.75622,0.76473,1.74804,3.98e-05,3.98e-05,3.98e-05
